Customer_ID,Age,Gender,City,Income,Spending_Score,Purchase_Amount,Purchase_Frequency,Product_Category,Membership,Satisfaction,Last_Purchase_Days
C001,46,Female,Bogor,,58,843153,9,Fashion,Silver,4.0,30
C002,32,Female,Depok,,12,594897,6,Food,Gold,3.0,33
C003,25,Male,Tangerang,9123769.0,3,704801,1,Food,Bronze,5.0,57
C004,38,Male,Bandung,4524102.0,18,253981,1,Sports,Silver,1.0,52
C005,36,Male,Tangerang,14579149.0,40,154211,6,Fashion,Bronze,1.0,9
C006,40,Female,Bogor,12052788.0,21,236321,4,Fashion,Bronze,1.0,54
C007,28,Male,Bekasi,5383366.0,15,492111,4,Food,Bronze,3.0,47
C008,28,Female,Bogor,5035848.0,97,537689,6,Electronics,Silver,3.0,1
C009,41,Female,Jakarta,8122930.0,99,973160,7,Electronics,Silver,2.0,44
C010,53,Male,Bogor,13828463.0,26,961297,9,Beauty,Silver,2.0,35
C011,41,Male,Jakarta,11593223.0,8,910952,10,Food,Bronze,1.0,11
C012,20,Female,Bogor,12913841.0,100,506956,5,Beauty,Gold,5.0,34
C013,39,Female,Jakarta,13192348.0,94,900741,9,Food,Silver,2.0,16
C014,19,Male,Bandung,9691409.0,87,79984,4,Sports,Silver,2.0,9
C015,41,Male,Tangerang,14457501.0,42,693235,10,Fashion,Silver,3.0,32
C016,47,Male,Tangerang,3838003.0,44,779182,2,Sports,Bronze,5.0,15
C017,55,Male,Depok,6433382.0,14,55901,3,Food,Silver,1.0,12
C018,19,Male,Tangerang,11670178.0,78,212624,1,Fashion,Gold,2.0,33
C019,38,Female,Bekasi,14571601.0,2,272317,6,Electronics,Bronze,5.0,45
C020,50,Female,Bogor,6395049.0,37,343199,6,Electronics,Silver,5.0,14
C021,29,Female,Depok,3066150.0,69,743045,1,Beauty,Gold,1.0,57
C022,39,Female,Bekasi,10951632.0,38,195788,3,Food,Silver,5.0,57
C023,42,Male,Bekasi,10429645.0,41,688387,5,Food,Bronze,5.0,8
C024,44,Male,Jakarta,13822814.0,62,585426,3,Electronics,Bronze,5.0,8
C025,45,Male,Tangerang,9081687.0,60,740658,10,Sports,Bronze,2.0,27
C026,33,Female,Bandung,11948331.0,14,73429,3,Fashion,Silver,1.0,12
C027,32,Female,Bandung,5547500.0,89,624488,10,Sports,Silver,5.0,1
C028,20,Male,Depok,14744353.0,84,252380,3,Sports,Bronze,5.0,43
C029,54,Male,Bandung,12388162.0,2,491460,5,Electronics,Gold,2.0,40
C030,24,Female,Bogor,66291969.0,70,822577,5,Electronics,Silver,1.0,42
C031,38,Female,Bandung,3134055.0,17,295127,4,Electronics,Bronze,3.0,51
C032,26,Male,Depok,12064630.0,89,937700,1,Beauty,Silver,2.0,11
