date,period,year,month,sales,units,category
2023-01-01,Jan-2023,2023,Jan,4046.01,83,Actual
2023-02-01,Feb-2023,2023,Feb,4546.32,111,Actual
2023-03-01,Mar-2023,2023,Mar,4945.9,174,Actual
2023-04-01,Apr-2023,2023,Apr,5489.36,174,Actual
2023-05-01,May-2023,2023,May,6223.25,91,Actual
2023-06-01,Jun-2023,2023,Jun,6234.86,84,Actual
2023-07-01,Jul-2023,2023,Jul,5821.68,107,Actual
2023-08-01,Aug-2023,2023,Aug,5443.37,157,Actual
2023-09-01,Sep-2023,2023,Sep,4754.0,105,Actual
2023-10-01,Oct-2023,2023,Oct,4438.05,169,Actual
2023-11-01,Nov-2023,2023,Nov,3951.6,108,Actual
2023-12-01,Dec-2023,2023,Dec,3781.02,115,Actual
2024-01-01,Jan-2024,2024,Jan,4714.01,100,Actual
2024-02-01,Feb-2024,2024,Feb,5153.22,120,Actual
2024-03-01,Mar-2024,2024,Mar,5735.87,143,Actual
2024-04-01,Apr-2024,2024,Apr,6159.51,127,Actual
2024-05-01,May-2024,2024,May,6849.27,143,Actual
2024-06-01,Jun-2024,2024,Jun,6639.55,148,Actual
2024-07-01,Jul-2024,2024,Jul,6448.45,208,Actual
2024-08-01,Aug-2024,2024,Aug,6087.88,133,Actual
2024-09-01,Sep-2024,2024,Sep,5666.24,193,Actual
2024-10-01,Oct-2024,2024,Oct,4935.41,115,Actual
2024-11-01,Nov-2024,2024,Nov,4722.87,148,Actual
2024-12-01,Dec-2024,2024,Dec,4232.86,137,Actual
2025-01-01,Jan-2025,2025,Jan,5611.8,240,Forecast
2025-02-01,Feb-2025,2025,Feb,5812.53,138,Forecast
2025-03-01,Mar-2025,2025,Mar,6324.28,167,Forecast
2025-04-01,Apr-2025,2025,Apr,7465.64,240,Forecast
2025-05-01,May-2025,2025,May,7417.71,211,Forecast
2025-06-01,Jun-2025,2025,Jun,7841.46,175,Forecast
